name,price
"Samsung Galaxy A32, 6.4-Inch (6GB RAM, 128GB ROM) Android 11, (64MP + 8MP + 5MP + 5MP) + 20MP  4G, Dual SIM - Awesome Black"," 145,000"
"Samsung Galaxy A33 5G, 6GB/128GB Memory - Black"," 173,050"
"Samsung Galaxy A73 5G, 6GB/128GB Memory - White"," 255,450"
"Samsung Galaxy A13, 4GB/128GB Memory, 5000 MAh Battery - Black"," 102,000"
Samsung Galaxy S8 Single Sim 4gb Ram 64gb Rom + Free Pouch Tempered Glass .," 115,000"
"Samsung Galaxy M32 LTE Dual SIM Smartphone, 128GB+ 6GB RAM -6.4'' -6000mAh-(64MP+8MP+2MP+2MP) +20MP Selfie- Light Blue"," 133,500"
"Samsung Galaxy A73 5G, 6GB/128GB Memory -Awesome Mint"," 255,450"
"Samsung Galaxy A03, 3GB/32GB Memory - Blue"," 58,400"
"Samsung Galaxy A03, 4GB/64GB Memory - Blue"," 66,950"
"Samsung Galaxy A03, 4GB/64GB Memory - Black"," 66,950"
"Samsung Galaxy A73 5G, 8GB/256GB Memory - Grey"," 280,200"
"Samsung Galaxy A33 5G, 6GB/128GB Memory - White"," 173,050"
"Samsung Tab A7 Lite, 8.7 TFT Screen, 3GB/32GB Memory, 8MP Single Camera, 5100 mAh Battery, Android 11 - Silver"," 96,331"
"Samsung Galaxy A03s, 3GB/32GB Memory - Black"," 63,550"
Samsung Galaxy S20 Ultra 5G 12+128GB G988U Single Sim  - Black-A," 370,000"
"Samsung Galaxy S7 Edge Smartphone - 5.5"" - 4GB RAM + 32GB ROM 12MP Single SIM - Black Free Pouch And Screen Protector"," 90,000"
"Samsung Galaxy A23, 4GB/64GB Memory, 5000 MAh Battery - Blue"," 113,300"
Samsung Galaxy S20 5G 12+128GB Single Sim Android 10 Octa Core 6.2 Inch Quad HD+ 12+12+64MP Tri-lens  - Gray," 280,000"
"Samsung Galaxy A03, 3GB/32GB Memory - Black"," 58,400"
"Samsung Galaxy A23, 4GB/64GB Memory, 5000 MAh Battery - Black"," 113,300"
Samsung Galaxy Note 10+ Plus 12GB/256GB Black + Free Pouch," 249,000"
"Samsung Galaxy A53,6.5"", 6GB/128GB, 64MP, 5000MAh, Android 12 -Black"," 214,250"
Samsung Galaxy Note 9 6GB/128GB - Lavender Purple Single Sim," 155,000"
"Samsung Galaxy Note 10 Plus (Note 10+) 6.8-Inch (12GB RAM, 256GB ROM), (12MP + 16MP) 4,300 MAh Smartphone - Aura Black"," 260,000"
